chr	start	end	num_A	num_C	num_G	num_T	coverage
gi|1906382|gb|K03455.1|HIVHXB2CG	3600	3700	45	15	24	16	74414
gi|1906382|gb|K03455.1|HIVHXB2CG	3700	3800	34	18	25	23	64138
gi|1906382|gb|K03455.1|HIVHXB2CG	3800	3900	35	20	24	21	68550
gi|1906382|gb|K03455.1|HIVHXB2CG	3900	4000	44	16	18	22	63622
gi|1906382|gb|K03455.1|HIVHXB2CG	4000	4100	40	17	20	23	75558
gi|1906382|gb|K03455.1|HIVHXB2CG	4100	4200	46	12	23	19	71030
gi|1906382|gb|K03455.1|HIVHXB2CG	4200	4300	38	12	26	24	78922
gi|1906382|gb|K03455.1|HIVHXB2CG	4300	4400	36	17	24	23	84870
gi|1906382|gb|K03455.1|HIVHXB2CG	4400	4500	35	15	24	26	79340
gi|1906382|gb|K03455.1|HIVHXB2CG	4500	4600	39	19	21	21	69732
gi|1906382|gb|K03455.1|HIVHXB2CG	4600	4700	32	18	28	22	41106
gi|1906382|gb|K03455.1|HIVHXB2CG	4700	4800	43	13	23	21	26662
gi|1906382|gb|K03455.1|HIVHXB2CG	4800	4900	48	13	19	20	23912
gi|1906382|gb|K03455.1|HIVHXB2CG	4900	5000	37	16	27	20	27170
gi|1906382|gb|K03455.1|HIVHXB2CG	5000	5100	41	9	31	19	24858
gi|1906382|gb|K03455.1|HIVHXB2CG	5100	5200	36	15	22	27	27570
gi|1906382|gb|K03455.1|HIVHXB2CG	5200	5300	31	18	28	23	31335
gi|1906382|gb|K03455.1|HIVHXB2CG	5300	5400	36	19	18	27	33309
gi|1906382|gb|K03455.1|HIVHXB2CG	5400	5500	36	19	22	23	36005
gi|1906382|gb|K03455.1|HIVHXB2CG	5500	5600	40	24	24	12	36406
gi|1906382|gb|K03455.1|HIVHXB2CG	5600	5700	30	17	24	29	36589
gi|1906382|gb|K03455.1|HIVHXB2CG	5700	5800	32	16	25	27	31315
gi|1906382|gb|K03455.1|HIVHXB2CG	5800	5900	33	23	27	17	45103
gi|1906382|gb|K03455.1|HIVHXB2CG	5900	6000	31	18	24	27	43330
gi|1906382|gb|K03455.1|HIVHXB2CG	6000	6100	38	22	16	24	43348
gi|1906382|gb|K03455.1|HIVHXB2CG	6100	6200	47	8	19	26	32836
gi|1906382|gb|K03455.1|HIVHXB2CG	6200	6300	31	12	38	19	31866
gi|1906382|gb|K03455.1|HIVHXB2CG	6300	6400	28	18	25	29	36500
gi|1906382|gb|K03455.1|HIVHXB2CG	6400	6500	36	22	21	21	36986
gi|1906382|gb|K03455.1|HIVHXB2CG	6500	6600	38	16	20	26	26730
gi|1906382|gb|K03455.1|HIVHXB2CG	6600	6700	39	9	25	27	12972
gi|1906382|gb|K03455.1|HIVHXB2CG	6700	6800	43	14	16	27	12402
gi|1906382|gb|K03455.1|HIVHXB2CG	6800	6900	23	27	19	31	18639
gi|1906382|gb|K03455.1|HIVHXB2CG	6900	7000	41	18	18	23	26271
gi|1906382|gb|K03455.1|HIVHXB2CG	7000	7100	37	17	21	25	21334
gi|1906382|gb|K03455.1|HIVHXB2CG	7100	7200	48	15	20	17	13629
gi|1906382|gb|K03455.1|HIVHXB2CG	7200	7300	50	12	16	22	8370
gi|1906382|gb|K03455.1|HIVHXB2CG	7300	7400	32	17	20	31	10212
gi|1906382|gb|K03455.1|HIVHXB2CG	7400	7500	41	18	18	23	19285
gi|1906382|gb|K03455.1|HIVHXB2CG	7500	7600	34	17	25	24	26622
gi|1906382|gb|K03455.1|HIVHXB2CG	7600	7700	43	9	25	23	29396
gi|1906382|gb|K03455.1|HIVHXB2CG	7700	7800	32	16	34	18	33544
gi|1906382|gb|K03455.1|HIVHXB2CG	7800	7900	28	22	29	21	40750
gi|1906382|gb|K03455.1|HIVHXB2CG	7900	8000	30	26	26	18	40409
gi|1906382|gb|K03455.1|HIVHXB2CG	8000	8100	25	18	27	30	38701
gi|1906382|gb|K03455.1|HIVHXB2CG	8100	8200	45	18	20	17	35818
gi|1906382|gb|K03455.1|HIVHXB2CG	8200	8300	35	6	24	35	33985
gi|1906382|gb|K03455.1|HIVHXB2CG	8300	8400	26	21	22	31	30286
gi|1906382|gb|K03455.1|HIVHXB2CG	8400	8500	34	19	32	15	28473
gi|1906382|gb|K03455.1|HIVHXB2CG	8500	8600	19	24	32	25	31784
gi|1906382|gb|K03455.1|HIVHXB2CG	8600	8700	30	19	26	25	31090
gi|1906382|gb|K03455.1|HIVHXB2CG	8700	8800	35	13	28	24	27457
gi|1906382|gb|K03455.1|HIVHXB2CG	8800	8900	30	15	37	18	23399
gi|1906382|gb|K03455.1|HIVHXB2CG	8900	9000	33	19	30	18	29771
gi|1906382|gb|K03455.1|HIVHXB2CG	9000	9100	32	22	23	23	33747
gi|1906382|gb|K03455.1|HIVHXB2CG	9100	9200	33	28	20	19	30060
gi|1906382|gb|K03455.1|HIVHXB2CG	9200	9300	32	22	25	21	21899
gi|1906382|gb|K03455.1|HIVHXB2CG	9300	9400	23	22	35	20	13886
gi|1906382|gb|K03455.1|HIVHXB2CG	9400	9500	18	25	37	20	8769
gi|1906382|gb|K03455.1|HIVHXB2CG	9500	9600	20	27	25	28	4802
gi|1906382|gb|K03455.1|HIVHXB2CG	9600	9700	21	24	23	32	1438
gi|1906382|gb|K03455.1|HIVHXB2CG	9700	9719	6	3	5	5	150
